,id,dist,baseh,basemu,basemed,basestd,scaledh,scaledmu,scaledmed,scaledstd,taille,bins,e_base,e_scale
290,norm_240_5_100.0,norm,3.104986744721905,4.99316211239935,4.995579384656551,0.09884462981658561,7.902927229498683,0.5932716879831811,0.5968160719176718,0.14493333007441936,240,15,0.7947462742396775,2.02281764387819
291,norm_240_5_3530.0,norm,3.422526974509743,5.0482186600936645,5.104480954502597,3.449590914130458,7.902204624106617,0.5297930416557681,0.5327313675396996,0.18015657517080025,240,15,0.8760232442538275,2.0226326872293203
292,norm_240_5_6970.0,norm,3.3559250008816535,4.318315597873948,4.384967929055251,6.675656303843673,7.903251593768502,0.5007068461379411,0.5023975233639826,0.16933211309726448,240,15,0.8589759346355463,2.0229006675160117
293,norm_240_5_10400.0,norm,3.514200441706094,4.7729716380800715,4.592703607401148,9.318464947169879,7.903640503689524,0.43427022755532024,0.4305764980311246,0.19093728913503052,240,15,0.8994878038448729,2.0230002121312256
294,norm_240_5_13830.0,norm,3.3883257503160755,5.157896571876879,6.540311657488809,13.412902728976029,7.904009851280739,0.47344254105055533,0.49144603570250145,0.17467917202401054,240,15,0.8672691664631387,2.023094749611141
295,norm_240_5_17270.0,norm,3.531634475627042,4.592647753176252,5.106894331440605,15.698195446953331,7.901832220240795,0.5148786985370848,0.5212841388002323,0.19553626105604216,240,15,0.9039501847317462,2.0225373674713927
296,norm_240_5_20700.0,norm,3.4231075286238823,3.8389715723276234,3.037541767677603,20.548386316049474,7.903599866172548,0.48750486666591386,0.4806107351119422,0.17676317709015144,240,15,0.8761718417381779,2.022989810632647
297,norm_240_5_24130.0,norm,3.1377716147598522,5.823210867965051,3.7428805656568347,23.139599538137244,7.9046993003348955,0.4869301297598955,0.4738426421067679,0.1455726635898513,240,15,0.803137824818237,2.02327121962925
298,norm_240_5_27570.0,norm,3.4422956986765394,7.232036785468666,6.109466332097989,26.188348479348093,7.903081464963475,0.49116489574466443,0.4834636384915249,0.17966196069809473,240,15,0.8810832078445707,2.022857121683114
299,norm_240_5_31000.0,norm,3.3917657096855818,6.486759646680017,7.5265433867086236,31.975365585743088,7.903072052081373,0.5076604047380225,0.5133713064412377,0.175621297732087,240,15,0.8681496516687836,2.0228547123804033
300,norm_480_0_100.0,norm,3.8164654750534974,-0.006829881862548408,-0.011625597406581657,0.09974026707767247,8.903801916436528,0.4878842901122519,0.47982908591526513,0.1675304155544134,480,21,0.8688956438487645,2.027130796663511
301,norm_480_0_200.0,norm,3.768448488978912,0.004236156615031054,-0.003412674863214228,0.20895427222661253,8.904826022167239,0.43406723530862656,0.42820286293249277,0.1602056033534142,480,21,0.8579636046874856,2.0273639550699136
302,norm_480_0_300.0,norm,3.877836523786002,-0.021458448748440755,0.012690416551206573,0.30401094025124403,8.903526055611167,0.5095514597804217,0.5291584042595779,0.17455120614575023,480,21,0.8828680057764867,2.027067991360795
