,id,dist,baseh,basemu,basemed,basestd,scaledh,scaledmu,scaledmed,scaledstd,taille
55,uni15_5_17270.0,uni,3.8672816448756926,6.542996917640364,4.283194748482632,10.05119681088335,3.9068769941355574,0.5520603436218144,0.485322130823009,0.2968396618087263,15
56,uni15_5_20700.0,uni,3.890086591323314,1.1940418018148042,3.3073419536312088,11.03352306130023,3.9068903689430288,0.4750030450400609,0.5390353684605331,0.3343122445342983,15
57,uni15_5_24130.0,uni,3.8451645297038684,5.100178749776685,4.062736561941303,12.013934927119937,3.9068886308829285,0.43261519272968674,0.4067984636790205,0.2989665414445306,15
58,uni15_5_27570.0,uni,3.858467543682272,5.96743799311871,4.455289381408097,15.027535285098832,3.9068858971841656,0.4758877063815698,0.4442270195555945,0.3146397680381298,15
59,uni15_5_31000.0,uni,3.8647250622963516,1.0874012919089224,-4.022328894141626,15.793308276084032,3.906848679757377,0.4084151841312547,0.3083051992696119,0.30942296263515223,15
60,uni30_0_100.0,uni,4.878393564567642,0.0024885448618385698,-0.001294634147686824,0.04722732594865121,0.43576668371034355,0.5167935197045072,0.4952693489732804,0.2686970466738732,30
61,uni30_0_200.0,uni,4.870493937491508,-0.007169448881541585,-0.019438462047910304,0.10144012475649919,3.0410095828782517,0.48311958428784,0.44970166879116785,0.27629911803965357,30
62,uni30_0_300.0,uni,4.8882399937866845,0.0051356768765751255,0.014299565546902787,0.18440357048429687,3.695350708308219,0.5076481689184128,0.5230315445583086,0.3095573829135704,30
63,uni30_0_400.0,uni,4.897091283521803,-0.02821772887185495,-0.03898535470286768,0.25065452123348675,4.091059926564086,0.4723832510594096,0.45830841226814517,0.3276415835793456,30
64,uni30_0_500.0,uni,4.881265234110821,-0.040395357686048454,-0.06268777335417774,0.29264758447482037,4.390158227852635,0.44724061226705525,0.4236341255013285,0.30989828257165575,30
65,uni30_0_600.0,uni,4.869818470405723,-0.00997063945320471,0.003981541275317135,0.32907429585946973,4.504647999312366,0.4878366363481192,0.4999481415073309,0.28566036447036103,30
66,uni30_0_700.0,uni,4.866214097377067,-0.00991012729097364,-0.05252877590310889,0.42139506602470833,4.738342510782503,0.4987254606952994,0.4675104662360385,0.3086405852712972,30
67,uni30_0_800.0,uni,4.891198961786274,-0.12658390788746215,-0.21516321536002042,0.4315971012434575,4.6600492123446715,0.4696227749152583,0.4069361938365083,0.3054364213541993,30
68,uni30_0_900.0,uni,4.888246304474591,-0.006313708199165731,0.02267523006788502,0.5342300561321153,4.85654892799597,0.4974310815552977,0.514307974608156,0.3110201360224385,30
69,uni30_0_1000.0,uni,4.874924311535099,0.06828398475610443,0.24821026286941794,0.6084289451685181,4.891081114112892,0.5349785001858886,0.6262491869501083,0.308636005007494,30
70,uni30_1_100.0,uni,4.834954182645013,1.0163598231889852,1.0338126352695276,0.05095803436515637,1.195387730367691,0.5707420725330391,0.6618717890168733,0.266076962431024,30
71,uni30_1_200.0,uni,4.886135101145273,0.9887426477978445,1.0096122058789492,0.11375502588364798,2.890514499936239,0.4925766167084869,0.5500172069542364,0.31309507392460656,30
72,uni30_1_300.0,uni,4.8803350490775905,0.9614150373707397,0.8746079838753437,0.1989598484534736,3.5993040763749216,0.429984043673676,0.27971917872096663,0.3444037500991597,30
73,uni30_1_400.0,uni,4.883113328183502,1.0425795033026333,1.0589560590511065,0.2316926540224672,4.059534158017652,0.5259581613328339,0.5477917613787057,0.3088979648217343,30
74,uni30_1_500.0,uni,4.824565897980735,0.8813159731298282,0.7800144261867913,0.2985624366504071,4.004015217535354,0.3814760538039587,0.2782911464649382,0.3041131975803652,30
75,uni30_1_600.0,uni,4.8627186676536,0.9800173128266562,0.97976230034007,0.3193113674455324,4.495498731578017,0.4898450329409098,0.4896176006533316,0.2847770935454895,30
76,uni30_1_700.0,uni,4.863300684958832,0.9199174736875938,0.9063834165526904,0.366708825240169,4.652623709697492,0.4735598189151962,0.4622704326337266,0.30588888015580373,30
